Start Date: 2/3/2022
Start Time: 14:44:0
Test system information: GeneralPhotonics, POD-201, V1.3.1-20181218, 154000000074
SOP sampling rate: 10000.0000sps
Integration time: 1.0000us
Scrambler DOP Average Number: 1 
Wavelength: 1550nm 
Time Interval(ms): 5000.0000
Calibration matrix: DEFAULT MATRIX
Total sampling numbers: 17280

--Time(ms)--S0(mW)--S1--S2--S3--DOP(%)--Average DOP(%)--
1.90000	1.25240	0.60677	0.25080	-0.75445	100.05493	100.05493
3.90000	1.26788	0.60637	0.25178	-0.75439	100.03357	100.03357
1.70000	1.26916	0.60543	0.25407	-0.75454	100.03052	100.03052
3.70000	1.26944	0.60576	0.25355	-0.75430	100.04272	100.04272
1.50000	1.27029	0.60140	0.26911	-0.75253	100.05493	100.05493
3.50000	1.25851	0.60045	0.28214	-0.74844	100.07629	100.07629
1.30000	1.25098	0.60063	0.28516	-0.74706	100.07935	100.07935
3.30000	1.26476	0.60082	0.28333	-0.74770	100.04272	100.04272
1.10000	1.26845	0.60057	0.28452	-0.74728	100.07629	100.07629
3.10000	1.26816	0.60088	0.28468	-0.74712	100.04272	100.04272
0.90000	1.27143	0.60082	0.28413	-0.74737	100.08850	100.08850
2.90000	1.26689	0.60076	0.28190	-0.74822	100.06714	100.06714
0.70000	1.26774	0.60057	0.28343	-0.74786	100.05493	100.05493
2.70000	1.27129	0.60161	0.29102	-0.74404	100.06409	100.06409
0.50000	1.26362	0.60176	0.29246	-0.74328	100.07629	100.07629
2.50000	1.25254	0.60189	0.29170	-0.74361	100.06714	100.06714
0.30000	1.25311	0.60201	0.29353	-0.74270	100.08850	100.08850
2.30000	1.25042	0.60253	0.29585	-0.74123	100.07935	100.07935
0.10000	1.26036	0.60115	0.28809	-0.74560	100.08850	100.08850
2.10000	1.26163	0.60063	0.28449	-0.74734	100.05493	100.05493
4.10000	1.25183	0.60060	0.28596	-0.74670	100.10071	100.10071
1.90000	1.26703	0.60045	0.28083	-0.74880	100.04272	100.04272
3.90000	1.25979	0.60057	0.27659	-0.75033	100.06714	100.06714
1.70000	1.26745	0.60103	0.27204	-0.75161	100.07629	100.07629
3.70000	1.26987	0.60155	0.26966	-0.75204	100.04272	100.04272
1.50000	1.25822	0.60259	0.26316	-0.75347	100.06714	100.06714
3.50000	1.25453	0.60344	0.26002	-0.75396	100.04272	100.04272
1.30000	1.25695	0.60396	0.25800	-0.75417	100.06714	100.06714
3.30000	1.26121	0.60445	0.25690	-0.75426	100.05493	100.05493
1.10000	1.26163	0.60347	0.26008	-0.75390	100.06714	100.06714
3.10000	1.25368	0.60317	0.26109	-0.75378	100.06714	100.06714
0.90000	1.26532	0.60268	0.26310	-0.75350	100.07629	100.07629
2.90000	1.27044	0.60332	0.26044	-0.75384	100.04272	100.04272
0.70000	1.25198	0.60372	0.25861	-0.75417	100.04272	100.04272
2.70000	1.27015	0.60500	0.25520	-0.75442	100.02136	100.02136
0.50000	1.27143	0.60582	0.25321	-0.75433	100.02136	100.02136
2.50000	1.25851	0.60549	0.25452	-0.75426	100.04272	100.04272
0.30000	1.25979	0.60503	0.25614	-0.75402	100.02136	100.02136
2.30000	1.25851	0.60475	0.25596	-0.75442	100.05493	100.05493
0.10000	1.26660	0.60457	0.25602	-0.75439	100.04272	100.04272
2.10000	1.25908	0.60494	0.25480	-0.75454	100.04272	100.04272
4.10000	1.25169	0.60540	0.25413	-0.75442	100.03357	100.03357
1.90000	1.26916	0.60552	0.25376	-0.75442	100.04272	100.04272
3.90000	1.25950	0.60695	0.25043	-0.75439	100.05493	100.05493
1.70000	1.25993	0.60829	0.24741	-0.75430	100.02136	100.02136
3.70000	1.26064	0.60753	0.24928	-0.75420	100.04272	100.04272
1.50000	1.26632	0.60991	0.24421	-0.75399	100.07629	100.07629
3.50000	1.26916	0.60649	0.25138	-0.75439	100.03052	100.03052
1.30000	1.27086	0.60134	0.26661	-0.75338	100.03052	100.03052
3.30000	1.25042	0.60631	0.25141	-0.75457	100.04272	100.04272
1.10000	1.25879	0.60707	0.24992	-0.75448	100.02136	100.02136
3.10000	1.26902	0.60759	0.24870	-0.75439	100.04272	100.04272
0.90000	1.26461	0.60512	0.25422	-0.75460	100.04272	100.04272
2.90000	1.26390	0.60561	0.25318	-0.75460	100.04272	100.04272
0.70000	1.26788	0.60302	0.26060	-0.75411	100.05493	100.05493
2.70000	1.25169	0.60314	0.26090	-0.75393	100.06714	100.06714
0.50000	1.27058	0.60030	0.27512	-0.75106	100.07629	100.07629
2.50000	1.25155	0.60118	0.26878	-0.75265	100.07935	100.07935
0.30000	1.25240	0.60179	0.29508	-0.74224	100.07935	100.07935
2.30000	1.25723	0.59999	0.27995	-0.74944	100.08850	100.08850
0.10000	1.25027	0.59999	0.27656	-0.75076	100.06714	100.06714
2.10000	1.25794	0.60042	0.28578	-0.74700	100.07629	100.07629
4.10000	1.26405	0.60396	0.30119	-0.73818	100.04272	100.04272
1.90000	1.27058	0.60121	0.29160	-0.74419	100.03052	100.03052
3.90000	1.25240	0.60140	0.29228	-0.74361	100.10071	100.10071
1.70000	1.26802	0.60341	0.29936	-0.73925	100.04272	100.04272
3.70000	1.25141	0.60051	0.28767	-0.74624	100.06714	100.06714
1.50000	1.25240	0.60042	0.28346	-0.74801	100.05493	100.05493
3.50000	1.27015	0.60131	0.29209	-0.74389	100.07629	100.07629
1.30000	1.26745	0.60094	0.28825	-0.74575	100.05493	100.05493
